id,Acer,Phum,Meus,Seum,Meis,Psas,Teas,OL12,Tala,Bola,Hyum,Afia,Vaax,Neae,Rher,Spas,Paas
Acer,-9.771460285357137e-11,-0.03912513973645605,-0.23002036599779394,-0.31279289530867016,0.040851511354542396,-0.015071568492434309,-0.40922735830645,-0.07779156707002331,-0.38524712924854587,-0.02822209739908516,-0.10985353548310897,-0.0316341827430739,-0.2561143585156226,-0.09364022496822699,-0.07747421844006122,-0.19979698944603042,-0.11065126254682642
Phum,-0.381750232916666,-9.771460285357137e-11,-0.0867685983890623,-0.44328539578764503,-0.15404135937165087,-0.09856503109400354,-0.4686861252004953,-0.30751838144345395,-0.4730509550343572,-0.1935999002936909,-0.22945481365740805,-0.1603129489822639,-0.42753864059139496,-0.3368920181097743,-0.2751357384324648,-0.4140233020585094,-0.33638571119855687
Meus,0.0006086006209047777,0.00011799218130870837,-9.771460285357137e-11,0.000978347523891179,0.8036583627771297,2.1027223137806196e-05,0.00224370966349603,0.00013445361749881636,0.0018993888969972821,0.00010130204515240399,0.15346522917362515,5.483537631349255e-05,0.000734256442553751,0.00017652868456768218,0.00015351306778637914,0.0004990703893425489,0.00020422866964857976
Seum,-0.182319179467245,-0.03406250333568591,-0.2583007704303,2.0955992868776362e-10,0.01793234574628658,-0.00989227769312013,-0.3702268503254558,-0.05137121811414359,-0.33066996302856955,-0.01747156805789344,-0.008610109656840339,-0.021794452387046206,-0.205380300460611,-0.0702128405751417,-0.0515819733301191,-0.15448373951673808,-0.07253615472556649
Meis,0.0007637949662494475,5.998576225841445e-05,0.9245893528592405,0.0015477447024231936,-9.771460285357137e-11,1.2134959786376243e-06,0.003289223662585867,4.8714447140503715e-05,0.002265852013640827,9.720653233087245e-05,0.07073109562898111,2.8345484950544176e-05,0.0006652542589668578,-2.3692030448152491e-07,8.573062593780467e-05,0.00036676237607112495,0.00013206059136517117
Psas,-0.5022989106243624,-0.44860935107743966,-0.11918497948858123,-0.538105945093791,-0.10939268803505872,-9.771460285357137e-11,-0.5498292121812851,-0.495917025319897,-0.5607857316884011,-0.372356002993189,-0.2741895441802438,-0.3707470217069798,-0.5601185965409445,-0.5009247968310531,-0.483192871776915,-0.5318351317008861,-0.5156724116668631
Teas,-0.08352267028014292,-7.460003223312195e-06,-0.2314563765290512,-0.13953157993091012,0.07206395869457015,-4.262218617490654e-07,-9.771460285357137e-11,-0.010743980904320036,-0.2084943897066929,0.00014529028795466775,0.00882657484992001,-0.005156399422652334,-0.09477619382451917,-2.3325870592429464e-05,-1.5977379956614467e-05,-0.06560083244636546,-0.019381956494334517
OL12,-0.3861547252548052,-0.2188086921226271,-0.14121452532411055,-0.43347352037992143,-0.13451048157936965,-0.08084329388938656,-0.47833420842322166,-9.771460285357137e-11,-0.4635984738042402,-0.15336624022129725,-0.1297849593873919,-0.14289516065032812,-0.44341051697223577,-0.35204878322240685,-0.2770566065469033,-0.43884433020053315,-0.33536479660298096
Tala,-0.10941462517158818,-9.306519542152613e-06,-0.19025163264740827,-0.16309236682427178,0.006522845700880986,-5.97881246169607e-07,-0.2959101326473397,-1.8065898234891297e-05,-9.771460285357137e-11,0.00011802505368812266,-0.01596921914193328,-2.5161136579934797e-06,-0.1271780784728026,-3.223533583038135e-05,-0.01698275235169071,-0.08438955616219693,-0.031411661736238446
Bola,-0.38649895508737186,-0.22079452108247893,-0.0969918728043174,-0.4284865627208399,-0.1343297692148526,-0.0814219706067999,-0.47893100623100443,-0.25773522941975113,-0.47810136457138835,-9.771460285357137e-11,-0.23948601178783566,-0.1649730999072957,-0.40819003085570726,-0.28066558513291884,-0.2632642462285462,-0.36296404471306676,-0.30765498941223873
Hyum,-0.0012204746228124826,-0.0002108075029073818,0.23584403110327815,-0.0016139246932006944,0.5166790347208506,-5.2249454292692285e-05,-0.00320761759182216,-0.00035165920558688176,-0.00293064663919176,-8.870528207473043e-05,-9.771460285357137e-11,-0.00011262290665960711,-0.0012786650972064916,-0.0003472296551709651,-0.00027652202035875984,-0.0009740476012942956,-0.00043888806190873217
Afia,-0.45480894114315096,-0.33515640536533664,-0.1580826046517538,-0.49128152970896466,-0.07330031802037512,-0.16325762331562407,-0.509771597564862,-0.40078808989346704,-0.5071369890210458,-0.2792379366626689,-0.24584740233783128,-9.771460285357137e-11,-0.4950260033250795,-0.4252820436699782,-0.3642434116694269,-0.4979047365866543,-0.4290081291167515
Vaax,-0.21686296869772254,-0.051356893185620284,-0.1632645080352843,-0.29624531721977065,-0.11829862516086594,-0.01416156056475212,-0.4179602876615577,-0.07176915459203528,-0.40222913898638557,-0.017955913163317523,0.0029939535163902233,-0.028247965345467054,-9.771460285357137e-11,-0.09257042277684964,-0.07188829469972347,-0.2005528642127586,-0.10113277382490861
Neae,-0.3386023314758396,-0.1692449874906426,-0.13155816036231602,-0.4153570151521141,-0.16080638512949882,-0.058523158280444576,-0.4779516985896899,-0.24313890678248837,-0.4645083043212876,-0.11212653519755433,-0.1038363315770325,-0.10779965970758525,-0.41399418312533376,-9.771460285357137e-11,-0.22574681285353715,-0.3953534828179721,-0.2781790059550708
Rher,-0.3707211688362659,-0.19816708567191715,-0.15060462012164913,-0.4271456603315687,-0.1332533596038062,-0.07199373121030052,-0.47885480446902273,-0.2595657882508437,-0.5113093797167138,-0.14426594302043663,-0.13919299425833231,-0.12378923917414929,-0.43259427996148875,-0.2959443730168262,-9.771460285357137e-11,-0.39861657773193526,-0.2985698653098118
Spas,-0.285089800765621,-0.09036580047997975,-0.12743955327165213,-0.3698906995906716,-0.12967131882418984,-0.02621967281874365,-0.4567159601487032,-0.1345531096575731,-0.432056664414621,-0.04661071417629927,-0.07008215626343807,-0.052216799322311776,-0.35303048612888055,-0.15821934004754443,-0.12048793947586744,-9.771460285357137e-11,-0.16922938841081653
Paas,-0.3285011765453793,-0.14721124735595176,-0.09972621579982052,-0.38660994858207587,-0.14497069949605493,-0.05011837182139783,-0.4446143240818718,-0.20038205413948265,-0.4542212429920465,-0.10499919791916729,-0.1285776985484865,-0.08641968931038385,-0.3834961396637145,-0.2433368310292727,-0.1895463890496232,-0.348469342552719,2.0955992868776362e-10
